band,location,bandcamp_url,genre,tags
SALLY DECKER,"Oakland, California",https://sallydecker.bandcamp.com,Experimental,Experimental
MARGIE TURNER AND THE OUTBACK BLUES BAND,,,,
Tropa Magica,"East Los Angeles, California",https://tropamagica.bandcamp.com,World,"World, Punk, cumbia, psychedelic"
Mala Greña,,,,
The Freak Accident,"San Francisco, California",https://thefreakaccident.bandcamp.com,Punk,"Punk, Indie, Surf, Psychedlic"
Conan Neutron & Secret Friends,"Milwaukee, Wisconsin",https://neutronfriends.bandcamp.com,Rock,"caterwaul society, alternative rock, Rock, post-punk, melvins, prf"
HLLLYH,California,https://hlllyhband.bandcamp.com,Rock,"spazz, emo, indie rock, Rock, noise rock, noise pop"
PLATTENBAU,,,,
LA ISLA ELECTRONICA,"Portland, Oregon",https://laislaelectronica.bandcamp.com,Punk,"post-punk, synth, rock, Punk, synthesizer"
CIRCUIT,"Augsburg, Germany",https://emerge.bandcamp.com,Experimental,"noise, Experimental, ambient, drone"
FOG LAMP,"Oakland, California",https://foglamp.bandcamp.com,Punk,"dark-wave, oakland, synth-punk, Punk, punk, post-punk"
Oakland First Friday w/ Lower Grand Radio,,,,
SHUTUPS,"Oakland, California",https://shutupsoakland.bandcamp.com,Alternative,"rock, indie, Alternative, punk, indie rock"
CASUAL HEX,,,,
NOTHING NATURAL,"Madison, Wisconsin",https://nothing-natural.bandcamp.com,Electronic,Electronic
AMBIENT LIVING,"Oakland, California",https://ambientliving.bandcamp.com,Rock,"slowcore, Rock, Punk, post-punk, post-hardcore"
Pet Symmetry,"Chicago, Illinois",https://petsymmetry.bandcamp.com,Punk,"emo, pop, Punk, power pop"
Phony,"Brooklyn, New York",https://phonyland.bandcamp.com,R&B/Soul,"Brooklyn Soul, R&B/Soul"
Diners,"Pasadena, California",https://diners.bandcamp.com,Pop,"guitar pop, rock, Pop, pop, power pop, songwriter"
Velvet Club w/ Louie El Ser,,,,
Vampi,,https://vampi.bandcamp.com,Alternative,Alternative
Quetzal,,,,
DFL AT ELI'S MILE HIGH CLUB,,,,
NAT BOLDEN AND THE STATE OF MIND BLUES BAND,,,,
Show Me The Body,"New York, New York",https://showmethebody.bandcamp.com,Punk,"hardcore, new york sound, Punk"
Big Boy,"San Jose, California",https://imthebigboy.bandcamp.com,Punk,"HARDCORE, Punk"
Cult Mind,"San Jose, California",https://cultmind.bandcamp.com,Punk,"San Jose, hardcore, Punk, 80's hardcore"
Caveman,,,,
Cat Positive,Washington,https://tysonballew.bandcamp.com,Punk,"indie, electric, acoustic, Punk"
Charles Bronson and the Sundance Kid,"Oakland, California",https://charlesbronsonandthesundancekid.bandcamp.com,Experimental,"experimental electronic, music, experimental rock, garage punk, punk, Experimental"
Paperface,"Philadelphia, Pennsylvania",https://paperface.bandcamp.com,Alternative,"Alternative, grunge, Indie, indie rock"
SEEYOUATWORK!,,,,
KARAOKE AT ELI'S,,,,
Febuary,"Las Vegas, Nevada",https://febuaryxoxo.bandcamp.com,Devotional,"emo, screamo, heartfelt, Devotional"
Clay Birds,"Mission Viejo, California",https://claybirds.bandcamp.com,Experimental,"skramz, lofi, Experimental, screamo, hardcore"
Holder,"Austin, Texas",https://aliholder.bandcamp.com,Folk,"singer-songwriter, texas, blues, Folk, country"
Caesura,"Bucharest, Romania",https://caesuralimited.bandcamp.com,,
FALSE FIGURE,"Oakland, California",https://falsefigure.bandcamp.com,Punk,"goth, darkpunk, Punk, deathrock, post-punk"
